title,year,director,running_time,views,likes,avg_rating,half_star,one_star,one_half_star,two_star,two_half_star,three_star,three_half_star,four_star,four_half_star,five_star
Evangelion: Death (True)²,1998,"Hideaki Anno,Masayuki",69,1606,341,3.3,1,15,12,77,89,289,194,185,38,55
Smorgasbord,1983,Jerry Lewis,89,713,166,3.6,5,8,9,33,23,55,55,87,39,79
Flesh Gordon,1974,"Michael Benveniste,Howard Ziehm",90,1333,167,2.6,24,51,53,120,114,164,65,42,10,11
Sequence Break,2017,Graham Skipper,80,904,136,2.6,12,52,56,145,157,197,73,43,5,2
Alien: Covenant - Prologue: Last Supper,2017,Luke Scott,5,2316,223,3.0,13,27,19,89,172,420,192,106,11,18
The Wicked City,1992,Peter Mak Tai-Kit,87,693,142,3.3,0,9,9,34,41,97,81,76,27,29
Carnage: Swallowing the Past,2017,Simon Amstell,65,1130,253,3.6,3,3,6,28,44,124,175,260,52,59
There's Only One Sun,2007,Wong Kar-wai,9,1295,145,3.1,3,10,13,54,86,232,118,70,13,12
Mosquito,1995,Gary Jones,92,1106,193,2.8,23,45,42,84,110,160,99,67,14,23
The Puppet Masters,1994,Stuart Orme,109,1891,196,2.8,7,30,45,179,195,326,142,62,4,7
Mannequin Two: On the Move,1991,Stewart Raffill,95,1913,161,2.2,81,150,128,179,110,127,44,48,7,27
Arcade,1993,Albert Pyun,85,888,138,2.4,21,52,73,108,106,94,47,27,7,6
Days of Eclipse,1988,Aleksandr Sokurov,139,557,101,3.6,4,3,3,15,19,52,71,107,33,21
The Diabolical,2015,Alistair Legrand,86,1516,101,2.2,69,123,127,236,164,181,65,43,3,4
Atlas Shrugged: Part I,2011,Paul Johansson,97,1700,74,1.9,250,196,98,130,80,114,61,38,13,19
Ghost Shark,2013,Griff Furst,84,1519,169,2.0,150,174,102,179,80,102,41,30,7,25
Dream,2008,Kim Ki-duk,95,1317,173,3.2,13,18,29,70,100,188,163,129,36,38
The Secret of Moonacre,2008,Gábor Csupó,103,2584,306,2.9,32,55,67,165,173,259,151,118,23,64
Mobile Suit Gundam I,1981,"Yoshiyuki Tomino,Ryôji Fujiwara",148,1660,348,3.5,2,6,11,32,53,240,305,259,36,52
The Rift,1990,Juan Piquer Simón,82,855,142,2.7,11,23,44,112,140,198,75,41,3,3
Death Warmed Up,1985,David Blyth,78,931,150,2.7,13,28,39,126,128,169,85,44,8,4
Girl vs. Monster,2012,Stuart Gillard,89,2927,202,2.3,86,171,99,185,134,160,67,65,8,32
Perfect,2018,Eddie Alcazar,85,502,73,2.5,30,40,45,77,48,63,23,31,15,18
Lady Frankenstein,1971,"Mel Welles,Aureliano Luppi",99,982,170,2.7,9,28,48,88,139,187,104,36,4,7
Krrish,2006,Rakesh Roshan,174,3153,249,2.7,56,100,77,224,208,361,193,127,13,37
The Angry Red Planet,1959,Ib Melchior,83,1113,148,2.7,5,34,40,131,126,196,65,31,5,5
Dogra Magra,1988,Toshio Matsumoto,109,421,101,3.6,0,3,2,12,20,46,58,75,20,25
Space Adventure Cobra,1982,Osamu Dezaki,95,876,228,3.5,0,5,4,12,44,123,141,148,33,38
Abbott and Costello Meet Dr. Jekyll and Mr. Hyde,1953,Charles Lamont,76,1403,224,3.0,3,13,23,67,108,240,104,80,10,25
Kamikaze 1989,1982,Wolf Gremm,106,880,183,3.3,5,9,8,44,57,146,130,121,26,17
Nothing,2003,Vincenzo Natali,90,1315,163,3.1,9,33,32,67,91,196,171,118,18,21
Creepshow 3,2006,"Ana Clavell,James Glenn Dudelson",104,1379,55,1.4,321,229,112,98,42,48,22,5,4,6
Meatball Machine,2005,"Yudai Yamaguchi,Jun'ichi Yamamoto",90,994,181,3.0,7,26,27,63,94,152,119,68,13,20
Galaxina,1980,William Sachs,95,1022,90,2.1,51,107,104,137,88,76,34,15,1,6
Teenagers from Outer Space,1959,Tom Graeff,86,1447,170,2.2,53,126,112,134,94,113,40,39,6,16
Eliminators,1986,Peter Manoogian,96,1072,199,2.7,13,31,35,117,129,181,80,55,8,10
How to Build a Better Boy,2014,Paul Hoen,90,3245,107,1.8,251,276,142,197,98,140,34,36,3,25
Blackenstein,1973,William A. Levey,87,917,97,2.1,48,87,106,150,93,85,27,7,1,2
Black Friday,1940,Arthur Lubin,70,1006,150,3.0,1,5,9,69,101,237,114,53,12,8
X: The Unknown,1956,"Joseph Losey,Leslie Norman",81,1066,170,3.0,1,6,13,49,128,225,163,63,3,4
The Man from Planet X,1951,Edgar G. Ulmer,70,1192,151,2.8,5,14,20,108,164,228,105,39,6,5
The Little Prince,1974,Stanley Donen,88,1903,268,3.3,7,11,22,67,86,216,158,143,36,84
Mill of the Stone Women,1960,Giorgio Ferroni,90,775,159,3.4,1,7,6,18,41,106,131,116,22,13
The Beast of Hollow Mountain,1956,"Ismael Rodríguez,Edward Nassour",81,1490,88,1.8,94,224,158,177,85,68,23,12,4,5
Crazy Thunder Road,1980,Gakuryuu Ishii,98,473,116,3.5,0,2,4,13,16,68,66,74,16,16
The Halt,2019,Lav Diaz,276,512,120,3.5,1,7,5,17,21,77,84,102,26,30
